what,when,with,where,amount
Early Career Researcher Ideas Scheme (CI-A), January 2024-December 2024,Investigating the neural basis of the speech disorder in Huntington's disease,QUT,"$21,318 "
"Study, Education and Research Trust Account Project Grant (CI-B)", January 2024-December 2024,Speaking clearly together: A novel speech treatment program enhancing communication for individuals with Huntington's disease,Royal Brisbane and Women's Hospital,"$65,103.98 "
Long Leave Research Momentum Scheme (CI-A),August 2023-June 2024,Funding to support data collection and analysis while on and returning from leave,QUT,"$5,623.75 "
